"id"	"name"	"price"	"img"	"descr"	"origin"	"taste"	"specs"	"date"	"status"	"discount"	"business_id"	"category_id"
"4"	"芋泥珍珠奶茶"	"15"	"https://raw.githubusercontent.com/xuanyu6868/takeaway/main/%E5%9B%BE%E7%89%87%E7%B4%A0%E6%9D%90/%E4%B8%80%E7%82%B9%E7%82%B9/%E5%95%86%E5%93%81/%E8%8A%8B%E6%B3%A5%E7%8F%8D%E7%8F%A0%E5%A5%B6%E8%8C%B6.png"	"好喝不腻，秋天第一杯"	"珍珠、芋泥、奶茶"	"香浓"	"1杯"	"2024-6-26"	"下架"	"0.8"	"14"	"6"
"5"	"薄荷奶绿"	"18"	"https://raw.githubusercontent.com/xuanyu6868/takeaway/main/%E5%9B%BE%E7%89%87%E7%B4%A0%E6%9D%90/%E4%B8%80%E7%82%B9%E7%82%B9/%E5%95%86%E5%93%81/%E8%96%84%E8%8D%B7%E5%A5%B6%E7%BB%BF.png"	"清爽薄荷搭配奶绿"	"薄荷、奶茶"	"清淡"	"1杯"	"2024-6-26"	"上架"	"0.9"	"14"	"8"
"6"	"奥利奥薄荷冰沙"	"18"	"https://raw.githubusercontent.com/xuanyu6868/takeaway/main/%E5%9B%BE%E7%89%87%E7%B4%A0%E6%9D%90/%E4%B8%80%E7%82%B9%E7%82%B9/%E5%95%86%E5%93%81/%E5%A5%A5%E5%88%A9%E5%A5%A5%E8%96%84%E8%8D%B7%E5%86%B0%E6%B2%99.png"	"奥利奥碎配清爽薄荷"	"奥利奥、薄荷、奶茶"	"清淡"	"1杯"	"2024-6-26"	"上架"	"0.9"	"14"	"8"
"8"	"手剥葡萄"	"18"	"https://raw.githubusercontent.com/xuanyu6868/takeaway/main/%E5%9B%BE%E7%89%87%E7%B4%A0%E6%9D%90/%E4%B8%80%E7%82%B9%E7%82%B9/%E5%95%86%E5%93%81/%E6%89%8B%E5%89%A5%E8%91%A1%E8%90%84.png"	"手剥葡萄，清爽怡人"	"葡萄、奶茶"	"清淡"	"1杯"	"2024-6-26"	"上架"	"0.9"	"14"	"8"
"12"	"橙C美式咖啡"	"12.9"	"https://raw.githubusercontent.com/xuanyu6868/takeaway/main/%E5%9B%BE%E7%89%87%E7%B4%A0%E6%9D%90/%E5%BA%93%E8%BF%AA%E5%92%96%E5%95%A1/%E5%95%86%E5%93%81/%E6%A9%99C.png"	"橙C美式咖啡"	"咖啡"	"苦、香"	"杯"	"2024-6-03"	"上架"	"0.7"	"16"	"11"
"13"	"蓝山咖啡"	"12.9"	"https://raw.githubusercontent.com/xuanyu6868/takeaway/main/%E5%9B%BE%E7%89%87%E7%B4%A0%E6%9D%90/%E5%BA%93%E8%BF%AA%E5%92%96%E5%95%A1/%E5%95%86%E5%93%81/%E8%93%9D%E5%B1%B1.png"	"咖啡"	"咖啡"	"苦、香"	"杯"	"2024-6-03"	"上架"	"0.7"	"16"	"10"
"14"	"生椰拿铁"	"12.9"	"https://raw.githubusercontent.com/xuanyu6868/takeaway/main/%E5%9B%BE%E7%89%87%E7%B4%A0%E6%9D%90/%E5%BA%93%E8%BF%AA%E5%92%96%E5%95%A1/%E5%95%86%E5%93%81/%E7%94%9F%E6%A4%B0%E6%8B%BF%E9%93%81.png"	"生椰拿铁"	"咖啡，椰浆"	"甜、香"	"杯"	"2024-6-03"	"上架"	"0.7"	"16"	"12"
"15"	"高山抹茶清爽椰"	"12.9"	"https://raw.githubusercontent.com/xuanyu6868/takeaway/main/%E5%9B%BE%E7%89%87%E7%B4%A0%E6%9D%90/%E5%BA%93%E8%BF%AA%E5%92%96%E5%95%A1/%E5%95%86%E5%93%81/%E9%AB%98%E5%B1%B1%E6%8A%B9%E8%8C%B6%E6%B8%85%E7%88%BD%E6%A4%B0.png"	"高山鲜椰，海边椰子"	"茶，椰浆"	"甜、香"	"杯"	"2024-6-03"	"上架"	"0.7"	"16"	"12"
"16"	"风味燕麦拿铁"	"12.9"	"https://raw.githubusercontent.com/xuanyu6868/takeaway/main/%E5%9B%BE%E7%89%87%E7%B4%A0%E6%9D%90/%E5%BA%93%E8%BF%AA%E5%92%96%E5%95%A1/%E5%95%86%E5%93%81/%E9%A3%8E%E5%91%B3%E7%87%95%E9%BA%A6%E6%8B%BF%E9%93%81.png"	"黑糖燕麦拿铁"	"咖啡"	"苦、香"	"杯"	"2024-6-03"	"上架"	"0.7"	"16"	"12"
"17"	"阿卡特里咖啡"	"30"	"https://raw.githubusercontent.com/xuanyu6868/takeaway/main/%E5%9B%BE%E7%89%87%E7%B4%A0%E6%9D%90/%E5%BA%93%E8%BF%AA%E5%92%96%E5%95%A1/%E5%95%86%E5%93%81/%E9%98%BF%E5%8D%A1%E7%89%B9%E9%87%8C%E5%92%96%E5%95%A1.png"	"咖啡"	"咖啡"	"苦、香"	"杯"	"2024-6-03"	"上架"	"0.6"	"16"	"12"
